,COD_ID,PAC_1,PAC_2,KEY,PN_CON_1,PN_CON_2,COMP,TIP_CND,x,y,TIP_UNID,P_N_OPE,COR_NOM,circ_Lin,circ_CTAT,circ_PAC_de,circ_PAC_pr,circ_cont,Cor,x1,y1,x2,y2,R1,X1,Corrente Max
13323,16518886,64733198925936683AT,64743349925944715AT,SSDAT,20013281.0,20013280.0,129.443,16512291H-3,,,,,,1,63154729925054893AT,64733198925936683AT,64743349925944715AT,145,#000000,-37.6670424569,-6.6986260733,-37.666126207,-6.697897198,0.211,0.385,495
13324,16518888,69245677920610353AT,69259543920584582AT,SSDAT,20012646.0,20012645.0,292.645,16512297H-3,,,,,,60,12908435,69245677920610353AT,69259543920584582AT,108,#808000,-37.2571272397,-7.1789440173,-37.255875164,-7.1812772903,0.67,0.418,230
13325,16518889,69259543920584582AT,69274066920566233AT,SSDAT,20012645.0,20012644.0,234.009,16512297H-3,,,,,,60,12908435,69259543920584582AT,69274066920566233AT,109,#808000,-37.255875164,-7.1812772903,-37.2545419523,-7.1829234328,0.67,0.418,230
13326,21144026,93130035924577071AT,93127401924587756AT,SSDAT,309189584.0,21144083.0,110.049,16512300H-3,,,,,,76,DJP46781234,93130035924577071AT,93127401924587756AT,496,#8A2BE2,-35.0996185498,-6.807670215,-35.099883785,-6.8067053612,0.335,0.392,480
13327,21144046,93094429924546139AT,93129828924577210AT,SSDAT,309189541.0,309189584.0,471.009,16512291H-3,,,,,,76,DJP46781234,93094429924546139AT,93129828924577210AT,499,#8A2BE2,-35.1028139021,-6.8104931321,-35.0996185498,-6.807670215,0.211,0.385,495
13328,21144055,93129828924577210AT,93127095924587650AT,SSDAT,309189584.0,21144083.0,107.918,16512291H-3,,,,,,76,DJP46781234,93129828924577210AT,93127095924587650AT,501,#8A2BE2,-35.0996185498,-6.807670215,-35.099883785,-6.8067053612,0.211,0.385,495
13329,72161545,83779736919543805AT,83760195919542718AT,SSDAT,79525477.0,79525476.0,195.712,16512291H-3,,,,,,19,84126466919574466AT,83779736919543805AT,83760195919542718AT,26,#0000FF,-35.941289744,-7.2684058791,-35.9430567743,-7.2685159966,0.211,0.385,495
13330,72161553,83760195919542718AT,83740411919541587AT,SSDAT,79525476.0,79525475.0,198.163,16512291H-3,,,,,,19,84126466919574466AT,83760195919542718AT,83740411919541587AT,27,#0000FF,-35.9430567743,-7.2685159966,-35.9448457632,-7.2686302312,0.211,0.385,495
13331,72161571,83720666919540304AT,83700972919538945AT,SSDAT,79525474.0,79525473.0,197.408,16512291H-3,,,,,,19,84126466919574466AT,83720666919540304AT,83700972919538945AT,29,#0000FF,-35.9466311351,-7.2687581643,-35.9484118512,-7.2688929241,0.211,0.385,495
13332,72161580,83700972919538945AT,83681240919537636AT,SSDAT,79525473.0,79525472.0,197.754,16512291H-3,,,,,,19,84126466919574466AT,83700972919538945AT,83681240919537636AT,30,#0000FF,-35.9484118512,-7.2688929241,-35.9501960387,-7.2690231846,0.211,0.385,495
